open_time,open,high,low,close,volume
2025-08-25,113493.59000000,113667.28000000,109274.10000000,110111.98000000,25182.79379000
2025-08-26,110111.98000000,112371.00000000,108666.66000000,111763.22000000,18452.43877000
2025-08-27,111763.22000000,112625.00000000,110345.42000000,111262.01000000,13392.60875000
2025-08-28,111262.01000000,113485.90000000,110862.42000000,112566.90000000,11104.27744000
2025-08-29,112566.90000000,112638.64000000,107463.90000000,108377.40000000,22580.31045000
2025-08-30,108377.40000000,108926.15000000,107350.10000000,108816.33000000,10708.39159000
2025-08-31,108816.33000000,109480.02000000,108076.93000000,108246.35000000,9489.51596000
2025-09-01,108246.36000000,109912.40000000,107255.00000000,109237.42000000,16053.60219000
2025-09-02,109237.43000000,111771.52000000,108393.39000000,111240.01000000,18510.28756000
2025-09-03,111240.01000000,112575.27000000,110528.71000000,111705.71000000,11773.72084000
2025-09-04,111705.72000000,112180.00000000,109329.12000000,110730.87000000,12203.13536000
2025-09-05,110730.87000000,113384.62000000,110206.96000000,110659.99000000,21587.40888000
2025-09-06,110660.00000000,111307.70000000,109977.00000000,110187.97000000,5000.29897000
2025-09-07,110187.98000000,111600.00000000,110180.00000000,111137.34000000,5681.29944000
2025-09-08,111137.35000000,112924.37000000,110621.78000000,112065.23000000,11582.40211000
2025-09-09,112065.23000000,113293.29000000,110766.66000000,111546.39000000,15379.28248000
2025-09-10,111546.38000000,114313.13000000,110917.45000000,113960.00000000,17517.41823000
2025-09-11,113960.00000000,115488.09000000,113430.00000000,115482.69000000,13676.73119000
2025-09-12,115482.69000000,116665.63000000,114740.99000000,116029.42000000,15324.10719000
2025-09-13,116029.41000000,116298.78000000,115127.27000000,115918.29000000,8269.40394000
2025-09-14,115918.29000000,116165.19000000,115135.00000000,115268.01000000,6707.60197000
2025-09-15,115268.01000000,116757.99000000,114384.00000000,115349.71000000,13212.51149000
2025-09-16,115349.71000000,116964.27000000,114737.11000000,116788.96000000,10926.90940000
2025-09-17,116788.96000000,117286.73000000,114720.81000000,116447.59000000,16754.24540000
2025-09-18,116447.60000000,117900.00000000,116092.76000000,117073.53000000,11657.23365000
2025-09-19,117073.53000000,117459.99000000,115100.00000000,115632.38000000,8992.09065000
2025-09-20,115632.39000000,116121.81000000,115408.47000000,115685.63000000,4674.92752000
2025-09-21,115685.63000000,115819.06000000,115188.00000000,115232.29000000,4511.52219000
2025-09-22,115232.29000000,115379.25000000,111800.00000000,112650.99000000,20781.71356000
2025-09-23,112650.99000000,113290.50000000,111458.73000000,111998.80000000,12301.32030000
2025-09-24,111998.80000000,113940.00000000,111042.66000000,113307.00000000,12369.25967000
2025-09-25,113307.01000000,113510.23000000,108631.51000000,108994.49000000,21231.14957000
2025-09-26,108994.49000000,110300.00000000,108620.07000000,109643.46000000,14243.01591000
2025-09-27,109643.46000000,109743.91000000,109064.40000000,109635.85000000,5501.78643000
2025-09-28,109635.85000000,112350.00000000,109189.99000000,112163.95000000,7542.33160000
2025-09-29,112163.96000000,114400.00000000,111560.65000000,114311.96000000,15541.12005000
2025-09-30,114311.97000000,114792.00000000,112656.27000000,114048.93000000,15044.15633000
2025-10-01,114048.94000000,118649.10000000,113966.67000000,118594.99000000,20036.39516000
2025-10-02,118594.99000000,121022.07000000,118279.31000000,120529.35000000,19670.83503000
2025-10-03,120529.35000000,123894.99000000,119248.30000000,122232.00000000,23936.32800000
2025-10-04,122232.21000000,122800.00000000,121510.00000000,122391.00000000,8208.16678000
2025-10-05,122390.99000000,125708.42000000,122136.00000000,123482.31000000,22043.09755300
2025-10-06,123482.32000000,126199.63000000,123084.00000000,124658.54000000,19494.62879300
2025-10-07,124658.54000000,125126.00000000,120574.94000000,121332.95000000,21633.99385000
2025-10-08,121332.96000000,124197.25000000,121066.14000000,123306.00000000,17012.61800000
2025-10-09,123306.01000000,123762.94000000,119651.47000000,121662.40000000,21559.36007000
2025-10-10,121662.41000000,122550.00000000,102000.00000000,112774.50000000,64171.93927000
2025-10-11,112774.49000000,113322.39000000,109561.59000000,110644.40000000,35448.51652000
2025-10-12,110644.40000000,115770.00000000,109565.06000000,114958.80000000,32255.30272000
2025-10-13,114958.81000000,115963.81000000,113616.50000000,115166.00000000,22557.24033000
2025-10-14,115166.00000000,115409.96000000,109866.00000000,113028.14000000,31870.32974000
2025-10-15,113028.13000000,113612.35000000,110164.00000000,110763.28000000,22986.48811000
2025-10-16,110763.28000000,111982.45000000,107427.00000000,108194.28000000,29857.17252000
2025-10-17,108194.27000000,109240.00000000,103528.23000000,106431.68000000,37920.66838000
2025-10-18,106431.68000000,107499.00000000,106322.20000000,107185.01000000,11123.18766000
2025-10-19,107185.00000000,109450.07000000,106103.36000000,108642.78000000,15480.66423000
2025-10-20,108642.77000000,111705.56000000,107402.52000000,110532.09000000,19193.44160000
2025-10-21,110532.09000000,114000.00000000,107473.72000000,108297.67000000,37228.01659000
2025-10-22,108297.66000000,109163.88000000,106666.69000000,107567.44000000,28610.78451000
2025-10-23,107567.45000000,111293.61000000,107500.00000000,110078.18000000,17573.09294000
2025-10-24,110078.19000000,112104.98000000,109700.01000000,111004.89000000,15005.16913000
2025-10-25,111004.90000000,111943.19000000,110672.86000000,111646.27000000,6407.96864000
2025-10-26,111646.27000000,115466.80000000,111260.45000000,114559.40000000,13454.47737000
2025-10-27,114559.41000000,116400.00000000,113830.01000000,114107.65000000,21450.23241000
2025-10-28,114107.65000000,116086.00000000,112211.00000000,112898.45000000,15523.42257000
2025-10-29,112898.44000000,113643.73000000,109200.00000000,110021.29000000,21079.71376000
2025-10-30,110021.30000000,111592.00000000,106304.34000000,108322.88000000,25988.82838000
2025-10-31,108322.87000000,111190.00000000,108275.28000000,109608.01000000,21518.20439000
2025-11-01,109608.01000000,110564.49000000,109394.81000000,110098.10000000,7378.50431000
2025-11-02,110098.10000000,111250.01000000,109471.34000000,110540.68000000,12107.00087000
2025-11-03,110540.69000000,110750.00000000,105306.56000000,106583.04000000,28681.18779000
2025-11-04,106583.05000000,107299.00000000,98944.36000000,101497.22000000,50534.87376000
2025-11-05,101497.23000000,104534.74000000,98966.80000000,103885.16000000,33778.77571000
2025-11-06,103885.16000000,104200.00000000,100300.95000000,101346.04000000,25814.62139000
2025-11-07,101346.04000000,104096.36000000,99260.86000000,103339.08000000,32059.50942000
